id,title,company,location,link,date_posted
907,Data Analyst,Insight Global,Greater St. Louis,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-4229242969,5/16/2025
908,Retail Operations Data Analyst,Meta,New York City,https://www.linkedin.com/jobs/view/retail-operations-data-analyst-at-meta-4229077543,5/16/2025
909,Data Analyst,McMaster-Carr,"Elmhurst, Illinois",https://www.linkedin.com/jobs/view/data-analyst-at-mcmaster-carr-4217365403,5/20/2025
910,PowerBI Analyst,Mitchell Martin Inc.,"Lake Forest, Illinois",https://www.linkedin.com/jobs/view/powerbi-analyst-at-mitchell-martin-inc-4229492152,5/16/2025
911,"Business Intelligence Analyst, Global Research Operations",Meta,New York City,https://www.linkedin.com/jobs/view/business-intelligence-analyst-global-research-operations-at-meta-4231829506,5/20/2025
912,Analista Dados JR,PicPay,"SÃ£o Paulo, SÃ£o Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-dados-jr-at-picpay-4233617438,5/20/2025
913,Data Analyst,noon,Delhi,https://in.linkedin.com/jobs/view/data-analyst-at-noon-4234092016,5/21/2025
914,Insight Analyst UK,ASOS.com,London,https://uk.linkedin.com/jobs/view/insight-analyst-uk-at-asos-com-4231963454,5/21/2025
915,Data Analyst Staff - Jakarta,PT. Medquest Jaya Global,Jakarta,https://id.linkedin.com/jobs/view/data-analyst-staff-jakarta-at-pt-medquest-jaya-global-4232833989,5/22/2025
916,Data Analyst,Propel,London,https://uk.linkedin.com/jobs/view/data-analyst-at-propel-4233653958,5/20/2025
918,KX Analytics (Tableau & SQL)- Analyst-Hyderabad,Deloitte,Hyderabad,https://in.linkedin.com/jobs/view/kx-analytics-tableau-sql-analyst-hyderabad-at-deloitte-4231832420,5/20/2025
919,Analista de Dados Jr (Ã¡rea de Fraude) - SÃ£o Paulo/SP,Shopee,"SÃ£o Paulo, SÃ£o Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-jr-%C3%A1rea-de-fraude-s%C3%A3o-paulo-sp-at-shopee-4232817742,5/21/2025
920,Analista de Dados Jr,Edenred Brasil,"SÃ£o Paulo, SÃ£o Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-edenred-brasil-4234410755,5/21/2025
921,Data Analyst,Schbang,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-analyst-at-schbang-4232295581,5/21/2025
922,Internship - Data Analysis [RID-00469],Setel,Kuala Lumpur,https://my.linkedin.com/jobs/view/internship-data-analysis-rid-00469-at-setel-4234856201,5/22/2025
923,Product Data Analyst,Crypto.com,Hong Kong,https://hk.linkedin.com/jobs/view/product-data-analyst-at-crypto-com-4232867226,5/22/2025
924,ICICI Securities - Data Analyst - SQL/Python,ICICIDirect,Navi Mumbai,https://in.linkedin.com/jobs/view/icici-securities-data-analyst-sql-python-at-icicidirect-4234752312,5/22/2025
